Name,Team,Stat,Line,Bet,Win
De'Aaron Fox,SAC,Steals,3.5,UNDER,78.6%
Luka Doncic,DAL,3-PT Made,5.5,UNDER,76.6%
Tyrese Maxey,PHI,3-PT Made,1.5,OVER,76.2%
D'Angelo Russell,LAL,3-PT Made,1.5,OVER,75.5%
Anthony Davis,LAL,Rebounds,15.5,UNDER,73.9%
Kyrie Irving,DAL,Rebounds,3.5,OVER,72.5%
Jarrett Allen,CLE,Rebs+Asts,13.5,OVER,71.0%
Jarrett Allen,CLE,Rebounds,9.5,OVER,70.8%
Luka Doncic,DAL,Rebounds,7.5,OVER,68.3%
Donovan Mitchell,CLE,3-PT Made,4.5,UNDER,68.3%
Tyrese Maxey,PHI,Assists,4.5,OVER,67.8%
Jarrett Allen,CLE,Blocked Shots,0.5,OVER,66.8%
Tobias Harris,PHI,3-PT Made,0.5,OVER,66.7%
Donovan Mitchell,CLE,Points,34.5,UNDER,66.3%
Tobias Harris,PHI,Points,29.5,UNDER,66.2%
Kevin Huerter,SAC,3-PT Made,3.5,UNDER,66.1%
Austin Reaves,LAL,Assists,3.5,OVER,66.0%
Donovan Mitchell,CLE,Rebounds,7.5,UNDER,65.6%
Domantas Sabonis,SAC,Assists,6.5,OVER,65.1%
Kyrie Irving,DAL,Points,34.5,UNDER,65.1%
Luka Doncic,DAL,Assists,7.5,OVER,64.5%
Luka Doncic,DAL,Assists,11.5,UNDER,64.4%
Austin Reaves,LAL,Rebounds,5.5,UNDER,64.4%
Domantas Sabonis,SAC,Steals,1.5,UNDER,64.4%
Tobias Harris,PHI,Assists,2.5,OVER,64.2%
Anthony Davis,LAL,Rebounds,9.5,OVER,64.0%
Tobias Harris,PHI,Rebs+Asts,10.5,OVER,64.0%
Tyrese Maxey,PHI,3-PT Made,4.5,UNDER,64.0%
Kyrie Irving,DAL,Rebs+Asts,10,OVER,63.9%
Anthony Davis,LAL,Steals,0.5,OVER,63.9%
Domantas Sabonis,SAC,Assists,10.5,UNDER,63.8%
Kevin Huerter,SAC,Steals,1.5,UNDER,63.7%
De'Aaron Fox,SAC,Points,29.5,UNDER,63.6%
Kyrie Irving,DAL,Rebounds,5,OVER,63.6%
Luka Doncic,DAL,3-PT Made,2.5,OVER,63.5%
Donovan Mitchell,CLE,Assists,5.5,OVER,63.4%
Tyrese Maxey,PHI,Points,24.5,OVER,63.3%
D'Angelo Russell,LAL,3-PT Made,2.5,OVER,63.0%
Austin Reaves,LAL,Assists,7.5,UNDER,62.9%
De'Aaron Fox,SAC,3-PT Made,3.5,UNDER,62.7%
Max Strus,CLE,Rebounds,6.5,UNDER,62.6%
Anthony Davis,LAL,Points,29.5,UNDER,62.5%
Keegan Murray,SAC,Points,19.5,UNDER,62.5%
Harrison Barnes,SAC,Steals,1.5,UNDER,62.3%
De'Aaron Fox,SAC,Rebounds,5.5,UNDER,62.3%
Kevin Huerter,SAC,Rebounds,2.5,OVER,62.2%
Domantas Sabonis,SAC,Points,14.5,OVER,62.2%
Tyrese Maxey,PHI,Rebounds,2.5,OVER,61.8%
Jarrett Allen,CLE,Rebounds,14.5,UNDER,61.3%
Luka Doncic,DAL,Points,29.5,OVER,61.0%
Luka Doncic,DAL,Points,39.5,UNDER,60.9%
Harrison Barnes,SAC,Points,9.5,OVER,60.4%
Kyrie Irving,DAL,Fantasy Score,42,OVER,60.4%
Tyrese Maxey,PHI,Rebs+Asts,10,OVER,59.9%
Tyrese Maxey,PHI,Fantasy Score,44.5,OVER,59.8%
Kelly Oubre Jr.,PHI,Rebounds,5,OVER,59.7%
Domantas Sabonis,SAC,Rebounds,13,OVER,59.7%
Keegan Murray,SAC,Points,9.5,OVER,59.4%
De'Aaron Fox,SAC,Assists,5.5,UNDER,59.3%
James Harden,LAC,Blocked Shots,0.5,OVER,59.2%
Harrison Barnes,SAC,Rebounds,4.5,UNDER,59.2%
Jarrett Allen,CLE,Fantasy Score,37.5,OVER,59.2%
Kyrie Irving,DAL,Assists,3.5,OVER,59.2%
Tobias Harris,PHI,Rebounds,6.5,OVER,59.2%
Kevin Huerter,SAC,Assists,4.5,UNDER,59.2%
Tyrese Maxey,PHI,Points,34.5,UNDER,58.6%
Jarrett Allen,CLE,Rebounds,11.5,OVER,58.4%
Max Strus,CLE,Fantasy Score,20.5,OVER,58.4%
De'Aaron Fox,SAC,Points,19.5,OVER,58.2%
Max Strus,CLE,Steals,1.5,UNDER,58.1%
Kyrie Irving,DAL,Pts+Rebs,30.5,OVER,58.1%
James Harden,LAC,Points,20.5,UNDER,58.1%
Anthony Davis,LAL,Pts+Rebs,39.5,UNDER,58.0%
Max Strus,CLE,Rebs+Asts,7.5,OVER,57.9%
Jarrett Allen,CLE,Points,14.5,OVER,57.8%
Tobias Harris,PHI,Assists,5.5,UNDER,57.6%
James Harden,LAC,Rebs+Asts,14.5,OVER,57.5%
Kevin Huerter,SAC,Rebounds,5.5,UNDER,57.5%
Kevin Huerter,SAC,Points,9.5,OVER,57.4%
De'Aaron Fox,SAC,Rebounds,2.5,OVER,57.4%
