Name,Game Time,Opponent,Line_Type,3-PT Attempted,3-PT Made,3-PT Made (Combo),Assists,Assists (Combo),Blks+Stls,Blocked Shots,Defensive Rebounds,Dunks,FG Attempted,Fantasy Score,Free Throws Made,Offensive Rebounds,Points,Points (Combo),Pts+Asts,Pts+Rebs,Pts+Rebs+Asts,Rebounds,Rebounds (Combo),Rebs+Asts,Steals,Turnovers
Anthony Davis,"Mon, Feb 05 6:00 PM",vs CHA,Demon,,,,5.5,,,,,,,,,,29.5,,,,,15.5,,,,
Anthony Davis,"Mon, Feb 05 6:00 PM",vs CHA,Goblin,,,,,,,,,,,,,,24.5,,,,,9.5,,,0.5,
Anthony Davis,"Mon, Feb 05 6:10 PM",vs CHA,Regular,,,,,,,,,,,,,,26.5,,30.5,39.5,43.5,12.5,,16.5,,
Anthony Davis + Jarrett Allen,"Mon, Feb 05 6:00 PM",vs CHA/SAC,Regular,,,,,,,,,,,,,,,,,,,,24.5,,,
Austin Reaves,"Mon, Feb 05 6:00 PM",vs CHA,Demon,,,,7.5,,,,,,,,,,19.5,,,,,5.5,,,,
Austin Reaves,"Mon, Feb 05 6:00 PM",vs CHA,Goblin,,,,3.5,,,,,,,,,,,,,,,,,,,
Austin Reaves,"Mon, Feb 05 6:10 PM",vs CHA,Regular,,,,5.5,,,,,,,,,,16.0,,21.5,19.5,25.5,,,9.5,,
Brandin Podziemski,"Mon, Feb 05 6:30 PM",vs BKN,Demon,,,,,,,,,,,,,,,,,,,9.5,,,,
Brandin Podziemski,"Mon, Feb 05 6:40 PM",vs BKN,Regular,,,,4.5,,,,,,,28.5,,,12.0,,16.5,18.5,23.5,7.0,,11.5,,
Brandon Ingram,"Mon, Feb 05 7:00 PM",vs TOR,Demon,,,,,,,,,,,,,,29.5,,,,,7.5,,,,
Brandon Ingram,"Mon, Feb 05 7:00 PM",vs TOR,Goblin,,,,,,,,,,,,,,19.5,,,,,3.5,,,,
CJ McCollum,"Mon, Feb 05 7:00 PM",vs TOR,Demon,,4.5,,,,,,,,,,,,24.5,,,,,,,,,
CJ McCollum,"Mon, Feb 05 7:00 PM",vs TOR,Goblin,,,,,,,,,,,,,,14.5,,,,,,,,,
Cam Thomas,"Mon, Feb 05 6:30 PM",vs GSW,Demon,,3.5,,4.5,,,,,,,,,,29.5,,,,,4.5,,,,
Cam Thomas,"Mon, Feb 05 6:30 PM",vs GSW,Goblin,,,,,,,,,,,,,,19.5,,,,,,,,,
Cam Thomas,"Mon, Feb 05 6:40 PM",vs GSW,Regular,6.5,,,,,,,,,19.0,35.0,4.0,,24.5,,27.5,27.5,31.0,,,,,
Cameron Johnson,"Mon, Feb 05 6:30 PM",vs GSW,Demon,,,,,,,,,,,,,,19.5,,,,,,,,,
Cameron Johnson,"Mon, Feb 05 6:30 PM",vs GSW,Goblin,,1.5,,1.5,,,,,,,,,,11.5,,,,,3.5,,,,
Cameron Johnson,"Mon, Feb 05 6:40 PM",vs GSW,Regular,6.0,2.5,,,,,,,,,27.0,,,14.5,,17.5,19.5,22.5,,,7.5,,
D'Angelo Russell,"Mon, Feb 05 6:00 PM",vs CHA,Demon,,3.5,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,"Mon, Feb 05 6:00 PM",vs CHA,Goblin,,1.5,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,"Mon, Feb 05 6:10 PM",vs CHA,Regular,,2.5,,6.0,,1.5,0.5,,,,,,,17.5,,24.5,20.5,27.5,,,9.5,,
Darius Garland,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,2.5,,,,,,,,,,,,,,,,,3.5,,,,
Darius Garland,"Mon, Feb 05 6:00 PM",vs SAC,Goblin,,,,,,,,,,,,,,9.5,,,,,,,,0.5,
Darius Garland,"Mon, Feb 05 6:00 PM",vs SAC,Regular,,,,,,,,,,,25.5,,,,,,,,,,,,
Darius Garland,"Mon, Feb 05 6:10 PM",vs SAC,Regular,,,,5.0,,,,,,,,,,13.5,,18.5,16.5,21.0,,,,,2.5
De'Aaron Fox,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,3.5,,5.5,,,,,,,,,,29.5,,,,,5.5,,,3.5,
De'Aaron Fox,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,,,,,,,,,,,19.5,,,,,2.5,,,,
De'Aaron Fox,"Mon, Feb 05 6:00 PM",vs CLE,Regular,8.0,,,,,,,,0.5,19.5,40.0,5.0,0.5,,,,,,,,,,
De'Aaron Fox,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,2.5,,4.5,,2.5,,,,,,,,24.5,,29.5,28.5,32.5,,,8.0,,
De'Aaron Fox + Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs CLE/SAC,Regular,,,5.5,,,,,,,,,,,,53.5,,,,,,,,
De'Aaron Fox + Kyrie Irving,"Mon, Feb 05 6:00 PM",vs CLE/PHI,Regular,,,,,,,,,,,,,,,50.5,,,,,,,,
Dejounte Murray,"Mon, Feb 05 6:30 PM",vs LAC,Demon,,3.5,,7.5,,,0.5,,,,,,,24.5,,,,,7.5,,,,
Dejounte Murray,"Mon, Feb 05 6:30 PM",vs LAC,Goblin,,,,3.5,,,,,,,,,,19.5,,,,,3.5,,,,
Dejounte Murray,"Mon, Feb 05 6:40 PM",vs LAC,Regular,6.0,,,5.5,,,,,,,38.5,2.5,,22.5,,27.5,27.5,32.5,5.0,,11.0,,
Domantas Sabonis,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,0.5,,10.5,,,,,,,,,,,,,,,,,,1.5,
Domantas Sabonis,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,6.5,,,,,,,,,,14.5,,,,,,,,,
Domantas Sabonis,"Mon, Feb 05 6:00 PM",vs CLE,Regular,,,,,,,,9.5,1.5,12.5,47.5,3.5,3.5,,,,,,,,,,
Domantas Sabonis,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,,,8.0,,,,,,,,,,18.5,,26.5,31.5,39.5,13.0,,,,
Domantas Sabonis + Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs CLE/SAC,Regular,,,,,15.0,,,,,,,,,,,,,,,,,,
Domantas Sabonis + Draymond Green,"Mon, Feb 05 6:00 PM",vs CLE/BKN,Regular,,,,,,,,,,,,,,,,,,,,20.5,,,
Domantas Sabonis + Jarrett Allen,"Mon, Feb 05 6:00 PM",vs CLE/SAC,Regular,,,,,,,,,,,,,,,,,,,,24.5,,,
Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,4.5,,,,,,,,,,,,34.5,,,,,7.5,,,,
Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs SAC,Goblin,,,,5.5,,,,,,,,,,24.5,,,,,,,,,
Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs SAC,Regular,9.0,,,,,,,,0.5,20.5,47.5,5.5,,,,,,,,,,,
Donovan Mitchell,"Mon, Feb 05 6:10 PM",vs SAC,Regular,,,,7.0,,,,,,,,,,28.5,,35.5,33.5,40.5,5.0,,12.5,1.5,
Donovan Mitchell + Kawhi Leonard,"Mon, Feb 05 6:00 PM",vs SAC/ATL,Regular,,,,,,,,,,,,,,,55.0,,,,,,,,
Draymond Green,"Mon, Feb 05 6:30 PM",vs BKN,Demon,,,,,,,,,,,,,,9.5,,,,,9.5,,,,
